tconst	averageRating	numVotes
tt13587506	5.4	7
tt13588604	7.2	5
tt13588944	8.5	85
tt13592092	8.1	32
tt13593766	4.6	64
tt13599178	8.7	648
tt13603190	7.2	20
tt13610158	8.2	8
tt13610562	4.7	22650
tt13612932	5.3	35
tt13613128	2.6	306
tt13615030	5.4	36
tt13617378	6.1	106
tt13618714	6.1	76
tt13622958	6.7	4523
tt13623916	7.4	1974
tt13624900	4.6	5035
tt13626200	5.3	335
tt13628870	6.3	136
tt13629708	8.8	9
tt13634480	4.3	12954
tt13635908	7.6	1033
tt13639204	6.2	272
tt13640670	6.8	23685
tt13640946	7.9	952
tt13642540	4.2	29
tt13645322	4.8	1699
tt13646616	6.9	26
tt13647256	4.8	119
tt13648270	6.0	1604
tt13648856	7.3	19
tt13649746	8.0	5
tt13650206	8.9	11
tt13650600	6.1	6368
tt13654122	6.8	324
tt13654146	6.9	619
tt13654414	7.0	7
tt13660090	7.6	28
tt13660266	8.5	39
tt13660916	6.5	94
tt13661368	8.2	73
tt13666674	9.3	82
tt13666680	6.8	422
tt13667044	5.7	51
tt13667522	7.2	6
tt13674472	9.3	18
tt13678280	6.0	6
tt13679334	2.4	8
tt13680520	3.8	1407
tt13683866	8.5	1649
tt13684082	7.8	233
tt13694702	5.8	612
tt13696452	5.3	5339
tt13698942	7.4	24
tt13702796	6.5	100
tt13706018	8.7	16172
tt13706140	8.1	31
tt13715108	8.6	14
tt13715982	7.9	249
tt13721828	6.2	1622
tt13729162	4.5	114
tt13729978	7.1	110
tt13730062	8.2	5
tt13734336	7.1	138
tt13740078	6.6	225
tt13743066	8.7	12
tt13743198	7.3	7
tt13751370	8.9	78
tt13756156	5.6	9
tt13757762	6.6	8
tt13760386	7.2	167
tt13761148	6.9	923
tt13767286	8.4	8
tt13773908	7.6	156
tt13778976	6.2	24
tt13790652	6.6	2903
tt13793230	7.0	5808
tt13794470	8.2	5
tt13797216	3.7	1704
tt13800572	6.9	15
tt13803064	6.5	24
tt13814180	5.2	45
tt13815702	4.6	127
tt13817770	6.5	394
tt13819192	6.2	20
tt13820498	7.8	3826
tt13822738	5.7	6119
tt13825336	6.3	3395
tt13830516	3.6	10
tt13831544	4.0	679
tt13831584	8.1	20
tt13833978	7.7	31557
tt13834986	8.6	46
tt13835524	7.1	124
tt13839466	7.1	11
tt13841850	6.1	24281
tt13845652	7.8	397
tt13845660	7.8	285
tt13846402	7.1	418
tt13846948	5.5	6
tt13847690	5.4	375
tt13848274	4.7	9
tt13849558	7.7	7
tt13861620	5.7	4852
tt13863702	8.6	5
tt13868972	8.9	11730
tt13872244	4.8	613
tt13872380	6.0	29
tt13872480	7.3	1218
tt13873302	6.5	20802
tt13873674	7.6	10
tt13884444	8.1	28
tt13887082	6.5	43
tt13891468	8.6	11
tt13891702	8.6	95
tt13892842	6.0	198
tt13893190	3.5	1748
tt13895146	7.1	14
tt13898130	6.1	64
tt13899926	8.4	53
tt13913068	6.4	1271
tt13913326	8.0	937
tt13916124	8.0	71
tt13918550	4.3	1351
tt13919696	7.3	3996
tt13919802	7.1	20355
tt13919958	7.2	58
tt13920422	8.9	17
tt13923216	6.1	67
tt13924926	3.8	540
tt13925166	6.4	1590
tt13925360	7.6	10
tt13925988	5.8	39
tt13927000	7.2	11
tt13937232	6.3	7
tt13938328	6.9	120
tt13938818	7.2	21
tt13942896	3.5	387
tt13944138	7.0	2066
tt13946626	8.5	24
tt13946908	5.0	160
tt13947858	6.8	39
tt13951924	8.8	6
tt13956452	6.3	266
tt13956466	7.0	544
tt13956560	6.4	1569
tt13957024	4.5	78
tt13960254	7.3	55
tt13961988	8.5	20
tt13963444	5.0	30
tt13967784	7.9	12
tt13968380	5.5	50
tt13968794	5.7	326
tt13970360	4.8	131
tt13971644	7.5	17
tt13973198	7.3	61
tt13973362	3.3	112
tt13977288	7.5	180
tt13977864	7.6	6
tt13978306	4.1	11823
tt13978628	5.3	299
tt13978658	7.0	4303
tt13985310	6.7	6
tt13986278	8.7	20
tt13989030	5.2	8912
tt13989278	5.4	53
tt13990248	8.8	190
tt13991504	5.3	60
tt13992922	9.1	49
tt13994572	7.5	3287
tt13998454	6.8	13
tt13998770	8.5	13
tt14002046	7.7	11046
tt14013304	6.5	87
tt14014068	5.5	2230
tt14015296	9.6	23
tt14016500	7.4	13785
tt14016830	8.6	389
tt14017492	5.2	40
tt14023652	7.4	28
tt14024906	5.9	13
tt14028056	7.0	7
tt14029064	7.3	21
tt14030846	7.7	23
